City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Birjand,IR,81.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
430,Tezu,IN,84.36,scattered clouds,27.9167,96.1667,Circuit House
442,Acarau,BR,79.52,overcast clouds,-2.8856,-40.12,castelo pizzaria
445,Ambon,ID,80.38,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
447,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
451,Cullman,US,81.25,clear sky,34.1748,-86.8436,Best Western Fairwinds Inn
454,Pedernales,DO,80.47,clear sky,18.0384,-71.744,Hotel Costa Marina
467,Mecca,SA,84.33,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
472,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
480,Tekkali,IN,84.92,overcast clouds,18.6167,84.2333,Spoorthi function hall
491,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
497,Hailar,CN,80.08,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
501,Tual,ID,79.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
507,Baiyin,CN,80.04,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
508,Villarrubia De Los Ojos,ES,82.98,broken clouds,39.2209,-3.608,The Mirador de la Mancha
509,Shingu,JP,84.9,broken clouds,33.7333,135.9833,Shingu UI Hotel
511,Campbell River,CA,79.18,broken clouds,50.0163,-125.2446,Anchor Inn & Suites
514,Boyolangu,ID,78.3,broken clouds,-8.1181,111.8935,Yos ega cv
520,Vanimo,PG,84.33,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
535,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
542,Pringsewu,ID,83.41,overcast clouds,-5.3582,104.9744,Urban Style by Front One
543,Tateyama,JP,81.57,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
549,Praya,CV,79.11,overcast clouds,14.9215,-23.5087,LT Aparthotel
553,Fairmont,US,81.39,overcast clouds,39.4851,-80.1426,Clarion Inn
558,Plymouth,US,81.34,few clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
