City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,61.32,88,75,11.5,broken clouds
80,Kapaa,US,22.0752,-159.319,84.18,70,20,14.97,few clouds
81,Rocha,UY,-34.4833,-54.3333,56.55,99,100,1.83,overcast clouds
82,Kruisfontein,ZA,-34.0033,24.7314,50.88,80,79,2.8,broken clouds
83,Sitka,US,57.0531,-135.33,57.09,88,100,6.91,light intensity drizzle
84,Namibe,AO,-15.1961,12.1522,62.6,87,1,3.83,clear sky
85,Ponta Do Sol,PT,32.6667,-17.1,82.13,38,24,3.76,few clouds
86,Ejido,VE,8.5514,-71.2375,66.34,93,80,4.03,broken clouds
87,Vaini,TO,-21.2,-175.2,77.16,78,20,9.22,few clouds
88,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,67.41,64,86,5.39,overcast clouds
89,Hovd,MN,48.0056,91.6419,69.8,19,17,3.18,few clouds
90,Rio Gallegos,AR,-51.6226,-69.2181,23.05,86,0,9.22,clear sky
91,Moron,AR,-34.6534,-58.6198,57.79,97,100,9.53,overcast clouds
92,Kahului,US,20.8947,-156.47,87.82,42,40,26.46,scattered clouds
93,Sechura,PE,-5.5569,-80.8222,64.51,87,78,12.1,broken clouds
94,Mahebourg,MU,-20.4081,57.7,61.09,88,40,5.75,scattered clouds
95,Havelock,US,34.8791,-76.9013,80.94,91,0,6.91,clear sky
96,Gorele,TR,41.0308,39.0031,66.13,65,0,7.18,clear sky
97,Puerto Colombia,CO,10.9878,-74.9547,80.69,78,42,20.11,scattered clouds
98,Hilo,US,19.7297,-155.09,85.28,74,20,9.22,few clouds
99,Peniche,PT,39.3558,-9.3811,65.28,87,0,11.81,clear sky
100,Havre,FR,49.5833,0.3333,65.97,82,100,12.66,overcast clouds
101,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,0,9.22,clear sky
102,Cabot,US,34.9745,-92.0165,91.31,62,0,6.91,clear sky
103,Mandalgovi,MN,45.7625,106.2708,70.27,40,37,11.1,scattered clouds
104,Deputatskiy,RU,69.3,139.9,67.96,47,100,5.97,overcast clouds
105,Castro,BR,-24.7911,-50.0119,57.25,74,91,3.18,overcast clouds
106,Didi Lilo,GE,41.7361,44.9647,60.58,72,0,17.27,clear sky
107,Vanavara,RU,60.34,102.2797,73.6,49,4,3.44,clear sky
108,Naryan-Mar,RU,67.6713,53.087,50.49,87,98,16.06,overcast clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,51.1,96,100,12.66,mist
110,San Jose,US,37.3394,-121.895,77.04,60,0,11.5,clear sky
111,Kavaratti,IN,10.5669,72.642,81.73,77,100,12.57,overcast clouds
112,Avarua,CK,-21.2078,-159.775,68.05,83,75,5.75,light rain
113,Aksu,CN,41.1231,80.2644,93.83,19,95,9.04,overcast clouds
114,Mayumba,GA,-3.432,10.6554,70.79,88,100,2.42,overcast clouds
115,Vostok,RU,46.4856,135.8833,69.66,85,91,2.42,overcast clouds
116,Dali,CN,25.7,100.1833,67.26,85,97,2.59,overcast clouds
117,Kaitangata,NZ,-46.2817,169.8464,46.2,90,100,11.88,overcast clouds
118,Bluff,NZ,-46.6,168.3333,44.8,81,51,18.1,broken clouds
119,Fairbanks,US,64.8378,-147.7164,75.09,31,0,5.75,clear sky
120,Mildura,AU,-34.2,142.15,67.06,62,77,14.9,broken clouds
121,Springdale,US,36.1867,-94.1288,93.33,52,0,6.91,clear sky
122,Aklavik,CA,68.2191,-135.0107,61.63,52,44,6.13,scattered clouds
123,Coihaique,CL,-45.5752,-72.0662,31.95,93,100,3.44,overcast clouds
124,Mount Gambier,AU,-37.8333,140.7667,57.11,88,100,14.97,overcast clouds
125,Liwale,TZ,-9.7667,37.9333,59.5,97,6,2.55,clear sky
126,Ancud,CL,-41.8697,-73.8203,46.22,94,97,8.3,overcast clouds
127,Alofi,NU,-19.0595,-169.9187,76.89,57,69,17.27,broken clouds
128,Dalby,AU,-27.1833,151.2667,66.52,53,8,2.42,light rain
129,Pafos,CY,34.7667,32.4167,74.98,31,0,5.75,clear sky
130,Qaanaaq,GL,77.484,-69.3632,39.61,94,100,1.52,overcast clouds
131,Dakoro,NE,14.5106,6.765,86.54,48,38,11.86,scattered clouds
132,Saint-Pierre,RE,-21.3393,55.4781,64.9,71,0,5.75,clear sky
133,Caravelas,BR,-17.7125,-39.2481,69.13,88,99,6.02,overcast clouds
134,Zhigansk,RU,66.7697,123.3711,69.46,57,20,6.08,few clouds
135,Bokoro,TD,12.3807,17.0568,82.09,64,93,8.95,overcast clouds
136,Geraldton,AU,-28.7667,114.6,57.61,72,0,14.97,clear sky
137,Puerto Madryn,AR,-42.7692,-65.0385,42.84,77,91,11.03,overcast clouds
138,Nouadhibou,MR,20.931,-17.0347,76.98,83,20,21.85,thunderstorm with light rain
139,Westport,US,41.1415,-73.3579,84.02,64,20,5.75,few clouds
140,Upata,VE,8.0086,-62.3989,73.18,98,97,3.29,overcast clouds
141,Nanortalik,GL,60.1432,-45.2371,46.22,89,100,4.74,light rain
142,Bendigo,AU,-36.7667,144.2833,48.63,95,100,7.94,light rain
143,Sur,OM,22.5667,59.5289,86.34,66,100,10.02,light rain
144,Carnarvon,AU,-24.8667,113.6333,63.57,38,0,15.35,clear sky
145,Ati,TD,13.2154,18.3353,83.98,61,67,11.95,broken clouds
146,Poum,NC,-20.2333,164.0167,75.15,64,0,14.74,clear sky
147,Noumea,NC,-22.2763,166.4572,77.0,99,44,7.81,scattered clouds
148,Nome,US,64.5011,-165.4064,56.16,55,75,8.05,broken clouds
149,Leningradskiy,RU,69.3833,178.4167,36.07,91,100,4.56,overcast clouds
150,Tromso,NO,69.6496,18.957,50.38,81,100,4.61,overcast clouds
151,Luganville,VU,-15.5333,167.1667,82.54,74,30,6.13,scattered clouds
152,Hithadhoo,MV,-0.6,73.0833,81.9,72,75,7.99,broken clouds
153,Den Helder,NL,52.9599,4.7593,70.02,74,100,5.01,overcast clouds
154,Port Macquarie,AU,-31.4333,152.9167,67.89,59,25,4.34,scattered clouds
155,Victoria,HK,22.2855,114.1577,94.96,77,13,8.99,few clouds
156,Saskylakh,RU,71.9167,114.0833,74.46,48,22,11.45,few clouds
157,Kodiak,US,57.79,-152.4072,54.91,94,100,5.75,mist
158,Half Moon Bay,US,37.4636,-122.4286,72.91,83,100,19.57,overcast clouds
159,Sept-Iles,CA,50.2001,-66.3821,63.12,93,100,4.61,overcast clouds
160,Guhagar,IN,17.4842,73.1929,79.18,84,98,6.08,overcast clouds
161,Mopti,ML,14.6667,-4.0,80.24,70,100,9.48,overcast clouds
162,Kailua,US,21.4022,-157.7394,87.78,65,0,11.5,clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,61.05,88,40,5.75,scattered clouds
164,Asau,RO,46.4333,26.4,65.32,93,87,3.11,overcast clouds
165,Iqaluit,CA,63.7506,-68.5145,44.33,93,75,3.44,broken clouds
166,Pampa,US,35.5362,-100.9599,95.95,29,0,14.97,clear sky
167,Tortoli,IT,39.9256,9.6572,76.82,100,0,4.61,clear sky
168,Alpharetta,US,34.0754,-84.2941,83.52,84,70,2.71,broken clouds
169,Goundam,ML,16.4145,-3.6708,82.15,62,91,6.69,light rain
170,Port Elizabeth,ZA,-33.918,25.5701,53.1,100,20,5.75,few clouds
171,Pundaguitan,PH,6.3711,126.1689,82.74,78,100,12.21,overcast clouds
172,Kizema,RU,61.113,44.8302,61.81,95,99,3.74,overcast clouds
173,Borger,NL,52.9233,6.7931,70.93,74,82,6.73,broken clouds
174,Moranbah,AU,-22.0016,148.0466,72.55,48,0,9.8,clear sky
175,Son La,VN,21.3167,103.9,83.5,71,43,0.72,scattered clouds
176,Tierranueva,MX,21.6833,-100.5667,62.11,88,75,10.58,broken clouds
177,Shitanjing,CN,39.2342,106.3439,82.69,30,69,7.56,broken clouds
178,Bengkulu,ID,-3.8004,102.2655,79.48,86,98,6.82,light rain
179,Qax,AZ,41.4225,46.9242,59.99,75,21,1.81,few clouds
180,Hamilton,US,39.1834,-84.5333,80.4,90,40,11.5,moderate rain
181,Saint-Philippe,RE,-21.3585,55.7679,64.22,75,24,6.49,few clouds
182,Witu,KE,-2.3889,40.4382,75.36,81,28,11.18,scattered clouds
183,Shujaabad,PK,29.8797,71.2931,80.65,67,96,10.98,overcast clouds
184,Culebra,PR,18.303,-65.301,82.44,97,0,13.0,clear sky
185,Upernavik,GL,72.7868,-56.1549,37.49,98,95,9.1,overcast clouds
186,Dzaoudzi,YT,-12.7887,45.2699,75.09,78,20,12.66,few clouds
187,Floro,NO,61.5996,5.0328,61.23,100,100,16.11,overcast clouds
188,Eldorado,BR,-23.7869,-54.2836,67.08,51,92,5.7,overcast clouds
189,Conde,BR,-7.2597,-34.9075,69.26,94,0,6.91,clear sky
190,Muscat,OM,23.6139,58.5922,87.82,64,37,6.76,scattered clouds
191,Waddan,LY,29.1614,16.139,73.31,66,0,8.05,clear sky
192,Worthington,US,40.0931,-83.018,82.45,77,40,10.36,scattered clouds
193,Palapye,BW,-22.546,27.1251,57.33,58,23,8.9,few clouds
194,Jutogh,IN,31.1,77.1167,64.58,91,95,1.9,light rain
195,Yulara,AU,-25.2406,130.9889,63.81,39,0,12.17,clear sky
196,Nagua,DO,19.3832,-69.8474,76.3,89,17,9.22,few clouds
197,Salalah,OM,17.0151,54.0924,75.69,94,100,5.95,overcast clouds
198,Luderitz,NA,-26.6481,15.1594,66.94,40,0,8.12,clear sky
199,Novaya Igirma,RU,57.1334,103.9112,71.51,58,95,4.03,overcast clouds
200,Burley,US,42.5357,-113.7928,82.36,28,0,8.05,clear sky
201,Victor Harbor,AU,-35.5667,138.6167,59.0,74,57,19.13,broken clouds
202,Omboue,GA,-1.5746,9.2618,71.8,79,90,4.29,overcast clouds
203,Malumfashi,NG,11.7853,7.6218,72.48,85,99,7.81,light rain
